image_name,lobster_size,total_length,carapace_length,eye_x,eye_y,pixels_total_length,pixels_carapace_length,sample_id,filepath,tags,detections.label,labels,diff_big,diff_small,new_class
undistorted_GX010191_47_507,small,153.4,30.9,4647.7,2664.1,786.9,158.3,{'$oid': '68736034b54ea3950eac70aa'},data/undistorted_GX010191_47_507.jpg,Circle|shai_measured|shai_measurements_2|big mpe5<x<10|small mpe<5|good,699.314|872.624|big_prawn|small_prawn|unknown_prawn,699.314|872.624|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail|unknown_prawn,26.599999999999994,8.400000000000006,small
undistorted_GX010191_47_1410,big,178.6,39.0,4124.5,895.8,945.6,206.4,{'$oid': '68736034b54ea3950eac709b'},data/undistorted_GX010191_47_1410.jpg,Circle|big mpe<5|good,big_prawn,big_prawn|eyes|rostrum|start_carapace|tail,1.4000000000000057,33.599999999999994,big
undistorted_GX010191_35_367,big,171.6,40.0,4559.5,1625.5,905.3,211.2,{'$oid': '68736034b54ea3950eac7008'},data/undistorted_GX010191_35_367.jpg,Circle|shai_measured|shai_measurements_2|big mpe5<x<10|small mpe<5|good,706.473|926.102|big_prawn|small_prawn,706.473|926.102|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,8.400000000000006,26.599999999999994,big
undistorted_GX010191_35_367,small,146.1,35.4,3237.0,1978.7,752.7,182.2,{'$oid': '68736034b54ea3950eac7008'},data/undistorted_GX010191_35_367.jpg,Circle|shai_measured|shai_measurements_2|big mpe5<x<10|small mpe<5|good,706.473|926.102|big_prawn|small_prawn,706.473|926.102|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,33.900000000000006,1.0999999999999943,small
undistorted_GX010191_35_1167,small,149.2,34.8,3262.8,683.9,759.4,177.2,{'$oid': '68736034b54ea3950eac6ffd'},data/undistorted_GX010191_35_1167.jpg,Circle|shai_measured|shai_measurements_2|big mpe5<x<10|small mpe<5|good,770.049|970.979|big_prawn|small_prawn,770.049|970.979|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,30.80000000000001,4.199999999999989,small
undistorted_GX010191_35_1167,big,200.5,44.3,4185.4,1696.5,1068.9,236.3,{'$oid': '68736034b54ea3950eac6ffd'},data/undistorted_GX010191_35_1167.jpg,Circle|shai_measured|shai_measurements_2|big mpe5<x<10|small mpe<5|good,770.049|970.979|big_prawn|small_prawn,770.049|970.979|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,20.5,55.5,big
undistorted_GX010191_34_350,small,149.3,35.5,3124.2,1938.9,766.8,182.4,{'$oid': '68736034b54ea3950eac6ff2'},data/undistorted_GX010191_34_350.jpg,Circle|shai_measured|shai_measurements_2|small mpe<5|big mpe<5|good,721.92|952.68|big_prawn|small_prawn,721.92|952.68|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,30.69999999999999,4.300000000000011,small
undistorted_GX010191_34_350,big,175.4,38.9,4423.0,2027.0,928.9,205.9,{'$oid': '68736034b54ea3950eac6ff2'},data/undistorted_GX010191_34_350.jpg,Circle|shai_measured|shai_measurements_2|small mpe<5|big mpe<5|good,721.92|952.68|big_prawn|small_prawn,721.92|952.68|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail,4.599999999999994,30.400000000000006,big
undistorted_GX010191_34_1128,small,135.1,33.6,3418.8,451.3,689.2,171.5,{'$oid': '68736034b54ea3950eac6fe7'},data/undistorted_GX010191_34_1128.jpg,Circle|shai_measured|shai_measurements_2|big mpe5<x<10|small mpe5<x<10|good,797.847|950.486|big_prawn|small_prawn|unknown_prawn,797.847|950.486|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail|unknown_prawn,44.900000000000006,9.900000000000006,small
undistorted_GX010191_34_1128,big,169.7,38.3,3700.6,1825.7,900.2,202.9,{'$oid': '68736034b54ea3950eac6fe7'},data/undistorted_GX010191_34_1128.jpg,Circle|shai_measured|shai_measurements_2|big mpe5<x<10|small mpe5<x<10|good,797.847|950.486|big_prawn|small_prawn|unknown_prawn,797.847|950.486|big_prawn|eyes|rostrum|small_prawn|start_carapace|tail|unknown_prawn,10.300000000000011,24.69999999999999,big
